kabupaten,tahun,produktivitas,komoditas,temperature,temp_max,temp_min,rainfall,humidity,wind_speed,solar_radiation
CIAMIS,2018,57.02,Padi,23.54813698630137,27.244246575342466,20.99041095890411,3352.66,88.81024657534248,2.155945205479452,17.91832876712329
KUNINGAN,2018,62.15,Padi,24.858246575342463,29.2114794520548,21.60890410958904,1949.9,84.46501369863013,1.8771780821917807,18.75986301369863
CIREBON,2018,54.0,Padi,26.38141095890411,29.2537397260274,24.13732876712329,4032.23,80.76083561643836,2.854794520547945,18.75986301369863
MAJALENGKA,2018,60.75,Padi,22.581917808219178,27.024136986301368,19.272794520547944,2308.61,86.76093150684932,1.625835616438356,18.75986301369863
SUMEDANG,2018,53.68,Padi,25.54353424657534,28.67835616438356,23.061424657534246,3398.42,91.60528767123289,0.0992054794520548,17.348876712328767
INDRAMAYU,2018,59.6,Padi,26.6454794520548,30.108602739726027,23.81197260273973,2095.43,79.09183561643836,2.54254794520548,18.75986301369863
SUBANG,2018,57.33,Padi,25.429726027397265,29.40539726027397,22.15854794520548,2114.26,82.04339726027398,1.7057260273972603,18.398246575342466
PURWAKARTA,2018,54.42,Padi,25.429726027397265,29.40539726027397,22.15854794520548,2114.26,82.04339726027398,1.7057260273972603,18.398246575342466
KARAWANG,2018,56.81,Padi,25.429726027397265,29.40539726027397,22.15854794520548,2114.26,82.04339726027398,1.7057260273972603,18.398246575342466
BEKASI,2018,48.91,Padi,26.16610958904109,29.442986301369864,23.49639726027397,3904.46,81.83179452054794,1.9100136986301368,18.01398630136986
BANDUNG BARAT,2018,54.21,Padi,21.35978082191781,25.767205479452056,18.004164383561644,2797.96,87.62654794520547,1.5021095890410958,18.398246575342466
PANGANDARAN,2018,57.49,Padi,25.045068493150687,29.06627397260274,22.22709589041096,2175.52,86.02364383561644,1.922054794520548,17.91832876712329
DEPOK,2018,52.03,Padi,24.85468493150685,29.05720547945205,21.47717808219178,2083.34,83.70443835616437,1.4134246575342466,17.62972602739726
CIMAHI,2018,54.29,Padi,21.35978082191781,25.767205479452056,18.004164383561644,2797.96,87.62654794520547,1.5021095890410958,18.398246575342466
BANJAR,2018,56.02,Padi,25.78382191780822,29.89868493150685,22.91128767123288,5089.04,85.22253424657534,1.3737945205479452,17.979424657534246
BOGOR,2019,68.48,Padi,25.20117808219178,29.71180821917808,21.48419178082192,4227.18,81.90191780821918,1.2931780821917809,18.37008219178082
SUKABUMI,2019,61.07,Padi,23.95895890410959,28.62843835616438,20.377397260273973,5177.8,84.95134246575343,1.5792876712328765,19.41154794520548
CIANJUR,2019,66.52,Padi,23.95895890410959,28.62843835616438,20.377397260273973,2588.9,84.95134246575343,1.5792876712328765,19.17709589041096
BANDUNG,2019,73.62,Padi,21.619205479452056,26.39630136986301,17.983616438356165,5490.38,86.05961643835616,1.4347671232876713,19.50609589041096
GARUT,2019,69.04,Padi,22.802767123287676,27.46539726027397,19.337013698630138,2364.55,85.61572602739726,1.7029589041095892,19.83509589041096
TASIKMALAYA,2019,67.88,Padi,23.66032876712329,27.593698630136988,20.92684931506849,6637.68,88.1538904109589,1.9913150684931509,18.645945205479453
CIAMIS,2019,65.81,Padi,23.66032876712329,27.593698630136988,20.92684931506849,3318.84,88.1538904109589,1.9913150684931509,18.645945205479453
KUNINGAN,2019,65.99,Padi,25.148712328767125,29.82282191780822,21.701424657534247,2010.02,82.9498904109589,1.964219178082192,19.38375342465753
CIREBON,2019,70.21,Padi,26.60994520547945,29.65728767123288,24.224520547945207,4098.42,79.49912328767124,2.828753424657534,19.38375342465753
